league,season,team,player,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Market  Value (EUROS)
ENG-Premier League,2425,Crystal Palace,Daniel Muñoz,COL,DF,28,1996,37,37,3228,35.9,4,5,9,4,0,0,10,0,4.9,4.9,5.5,10.5,62,97,206,0.11,0.14,0.25,0.11,0.25,0.14,0.15,0.29,0.14,0.29,20000000
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27,1997,38,38,3420,38,0,0,0,0,0,0,3,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000
ENG-Premier League,2425,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26,1998,34,31,2588,28.8,8,8,16,7,1,2,1,0,10.5,8.9,6.2,15.1,69,97,153,0.28,0.28,0.56,0.24,0.52,0.36,0.22,0.58,0.31,0.53,50000000
ENG-Premier League,2425,Crystal Palace,Ismaila Sarr,SEN,MF,26,1998,38,30,2711,30.1,8,6,14,8,0,0,4,0,10.7,10.7,8.5,19.2,75,85,183,0.27,0.2,0.46,0.27,0.46,0.35,0.28,0.64,0.35,0.64,25000000
ENG-Premier League,2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27,1997,37,33,2648,29.4,14,2,16,12,2,2,2,0,13.5,11.9,3.2,15.1,45,52,122,0.48,0.07,0.54,0.41,0.48,0.46,0.11,0.57,0.41,0.51,25000000
ENG-Premier League,2425,Crystal Palace,Marc Guéhi,ENG,DF,24,2000,34,34,3059,34,3,2,5,3,0,0,9,1,2,2,1.8,3.7,22,134,10,0.09,0.06,0.15,0.09,0.15,0.06,0.05,0.11,0.06,0.11,40000000
ENG-Premier League,2425,Crystal Palace,Maxence Lacroix,FRA,DF,24,2000,35,35,3116,34.6,1,1,2,1,0,0,5,0,3.4,3.4,1,4.4,8,65,7,0.03,0.03,0.06,0.03,0.06,0.1,0.03,0.13,0.1,0.13,22000000
ENG-Premier League,2425,Crystal Palace,Tyrick Mitchell,ENG,DF,24,1999,37,37,3092,34.4,0,5,5,0,0,0,2,0,1.3,1.3,6.4,7.7,63,70,171,0,0.15,0.15,0,0.15,0.04,0.19,0.22,0.04,0.22,20000000
ENG-Premier League,2425,Everton,Abdoulaye Doucouré,MLI,MF,31,1993,33,31,2564,28.5,3,2,5,3,0,0,5,1,4.1,4.1,2.4,6.6,42,82,96,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23,7000000
ENG-Premier League,2425,Everton,Idrissa Gana Gueye,SEN,MF,34,1989,37,35,3063,34,0,3,3,0,0,0,9,0,1.1,1.1,1.7,2.8,27,145,27,0,0.09,0.09,0,0.09,0.03,0.05,0.08,0.03,0.08,"1,500,000"
